class,bucket_px,tp,fn,fp,precision,recall,f1,gt_n
2W,16-24,2,5,4,0.333,0.286,0.308,7
2W,24-32,33,33,83,0.284,0.5,0.363,66
2W,32-48,433,191,466,0.482,0.694,0.569,624
2W,48-64,611,156,381,0.616,0.797,0.695,767
2W,64-96,1022,231,461,0.689,0.816,0.747,1253
2W,96-128,587,126,209,0.737,0.823,0.778,713
2W,128-+,744,163,235,0.76,0.82,0.789,907
3W_Auto,24-32,0,3,0,0,0.0,0,3
3W_Auto,32-48,2,17,16,0.111,0.105,0.108,19
3W_Auto,48-64,37,27,91,0.289,0.578,0.385,64
3W_Auto,64-96,136,30,85,0.615,0.819,0.703,166
3W_Auto,96-128,105,23,47,0.691,0.82,0.75,128
3W_Auto,128-+,271,26,64,0.809,0.912,0.858,297
Car_Jeep_Van,16-24,29,20,35,0.453,0.592,0.513,49
Car_Jeep_Van,24-32,82,67,92,0.471,0.55,0.508,149
Car_Jeep_Van,32-48,218,350,232,0.484,0.384,0.428,568
Car_Jeep_Van,48-64,189,321,159,0.543,0.371,0.441,510
Car_Jeep_Van,64-96,104,210,124,0.456,0.331,0.384,314
Car_Jeep_Van,96-128,54,77,46,0.54,0.412,0.468,131
Car_Jeep_Van,128-+,192,41,50,0.793,0.824,0.808,233
LCV,32-48,0,1,0,0,0.0,0,1
LCV,48-64,0,3,2,0.0,0.0,0,3
LCV,64-96,7,14,10,0.412,0.333,0.368,21
LCV,96-128,11,4,6,0.647,0.733,0.688,15
LCV,128-+,41,13,14,0.745,0.759,0.752,54
Mini_Bus,48-64,1,1,2,0.333,0.5,0.4,2
Mini_Bus,64-96,2,3,6,0.25,0.4,0.308,5
Mini_Bus,96-128,7,1,4,0.636,0.875,0.737,8
Mini_Bus,128-+,17,5,16,0.515,0.773,0.618,22
Bus,32-48,0,1,3,0.0,0.0,0,1
Bus,48-64,3,2,9,0.25,0.6,0.353,5
Bus,64-96,6,6,6,0.5,0.5,0.5,12
Bus,96-128,6,2,4,0.6,0.75,0.667,8
Bus,128-+,45,15,13,0.776,0.75,0.763,60
Tractor,64-96,1,0,0,1.0,1.0,1.0,1
Tractor,96-128,0,0,1,0.0,0,0,0
Tractor,128-+,1,1,1,0.5,0.5,0.5,2
Tractor_Trailer,96-128,0,0,1,0.0,0,0,0
Tractor_Trailer,128-+,2,3,0,1.0,0.4,0.571,5
2Axle_Truck,32-48,0,2,4,0.0,0.0,0,2
2Axle_Truck,48-64,4,5,7,0.364,0.444,0.4,9
2Axle_Truck,64-96,6,5,14,0.3,0.545,0.387,11
2Axle_Truck,96-128,6,3,1,0.857,0.667,0.75,9
2Axle_Truck,128-+,32,15,9,0.78,0.681,0.727,47
3Axle_Truck,48-64,1,1,1,0.5,0.5,0.5,2
3Axle_Truck,64-96,2,2,3,0.4,0.5,0.444,4
3Axle_Truck,96-128,0,1,2,0.0,0.0,0,1
3Axle_Truck,128-+,8,6,7,0.533,0.571,0.552,14
MAV,64-96,2,0,6,0.25,1.0,0.4,2
MAV,96-128,1,0,3,0.25,1.0,0.4,1
MAV,128-+,8,0,5,0.615,1.0,0.762,8
Cycle,32-48,1,1,1,0.5,0.5,0.5,2
Cycle,48-64,0,0,3,0.0,0,0,0
Cycle,64-96,1,0,1,0.5,1.0,0.667,1
Cycle,96-128,1,0,0,1.0,1.0,1.0,1
Cycle,128-+,6,3,5,0.545,0.667,0.6,9
Cycle_Rickshaw,64-96,2,1,0,1.0,0.667,0.8,3
Cycle_Rickshaw,96-128,1,1,1,0.5,0.5,0.5,2
Cycle_Rickshaw,128-+,35,19,39,0.473,0.648,0.547,54
Animal_Cart,64-96,0,1,0,0,0.0,0,1
Animal_Cart,96-128,1,1,3,0.25,0.5,0.333,2
Animal_Cart,128-+,0,1,0,0,0.0,0,1
Other,64-96,0,2,0,0,0.0,0,2
Other,96-128,0,1,0,0,0.0,0,1
Other,128-+,7,7,7,0.5,0.5,0.5,14
